player_id,name,club,status,match_score,ea_overall,detail
BHA19,Pascal Gross,BHA,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
BHA20,Kaoru Mitoma,BHA,MATCHED,score=1.00,ea_overall=82,attrs_from_ea=25
BHA21,Yankuba Minteh,BHA,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
BHA22,Georginio Rutter,BHA,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
BHA23,Stefanos Tzimas,BHA,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=25
BHA24,Ibrahim Osman,BHA,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=25
BHA25,Promise David,BHA,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
BOU01,Djordje Petrovic,BOU,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=29
BOU02,Michele Di Gregorio,BOU,MATCHED,score=1.00,ea_overall=81,attrs_from_ea=29
BOU03,Julian Araujo,BOU,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
BOU04,Adrien Truffert,BOU,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
BOU05,James Hill,BOU,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
BOU06,Adam Smith,BOU,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
BOU07,Antonio Silva,BOU,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
BOU08,Juanlu Sanchez,BOU,AMBIGUOUS(2),,
BOU08,Juanlu Sanchez,BOU,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
BOU09,Julio Soler,BOU,MATCHED,score=1.00,ea_overall=68,attrs_from_ea=25
BOU10,Lewis Cook,BOU,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
BOU11,David Brooks,BOU,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
BOU12,Alex Scott,BOU,AMBIGUOUS(2),,
BOU12,Alex Scott,BOU,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
BOU13,Ryan Christie,BOU,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
BOU14,Tyler Adams,BOU,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
